,Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,Unnamed: 25,innings played.1,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls,Retained,matches_bat_ipl,total_runs_scored_ipl,balls_faced_ipl,batting_avg_ipl,highest_score_ipl,strike_rate_ipl,centuries_ipl,half_centuries_ipl,fours_ipl,sixes_ipl,matches_bowl_ipl,balls_bowled_ipl,total_runs_given_ipl,wickets_taken_ipl,bowling_avg_ipl,economy_ipl,3wickets_ipl
103,104.0,0.0,0.0,1,Angelo Mathews,Sri Lanka,Pune Warriors,950000.0,54.0,46.0,13.0,857.0,65*,0.0,1.0,25.96,708.0,121.04,0.0,3.0,67.0,24.0,0.3888888888888889,21.0,0.0,,39,1.0,673,894,0.0,32,2019-04-01 00:00:00,27.93,7.97,21,1,0,0,0,10.0,233.0,197.0,23.3,65.0,108.08366423492475,0.0,1.0,18.0,8.0,12.0,230.0,309.0,8.0,25.75,8.492966200466201,1.0
104,105.0,0.0,0.0,1,Johan Botha,South Africa,Rajasthan Royals,950000.0,91.0,69.0,25.0,934.0,67*,0.0,1.0,21.22,849.0,110.01,0.0,2.0,71.0,16.0,0.4065934065934066,37.0,0.0,,88,1.0,1986,1985,1.0,82,2016-04-01 00:00:00,24.2,5.99,24.2,2,0,0,0,,,,,,,,,,,,,,,,,
105,106.0,0.0,0.0,0,Ravindra Jadeja,India,Kochi,950000.0,54.0,43.0,9.0,832.0,47,0.0,1.0,24.47,711.0,117.01,0.0,0.0,60.0,28.0,0.3333333333333333,18.0,0.0,,39,1.0,645,790,0.0,21,2015-03-01 00:00:00,37.61,7.34,30.7,0,0,0,0,,,,,,,,,,,,,,,,,
106,107.0,0.0,0.0,1,Ross Taylor,New Zealand,Rajasthan Royals,1000000.0,114.0,107.0,23.0,2788.0,111*,1.0,1.0,33.19,1895.0,147.12,1.0,14.0,205.0,164.0,0.49122807017543857,56.0,0.0,,15,0.0,186,280,0.0,8,2028-03-01 00:00:00,35.0,9.03,23.2,0,0,0,0,7.0,88.0,77.0,12.571428571428571,31.0,113.27651515151516,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,,,0.0
107,108.0,0.0,1.0,1,AB de Villiers,South Africa,Royal Challengers Bangalore,1100000.0,88.0,81.0,16.0,1911.0,105*,0.0,1.0,29.4,1516.0,126.05,1.0,11.0,145.0,62.0,0.7840909090909091,69.0,8.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,7.0,111.0,123.0,15.857142857142858,45.0,80.0837257980115,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,,0.0
108,109.0,0.0,0.0,1,Cameron White,Australia,Deccan Chargers,1100000.0,94.0,89.0,23.0,2064.0,141*,1.0,1.0,31.27,1541.0,133.93,2.0,10.0,125.0,104.0,0.40425531914893614,38.0,0.0,,26,1.0,334,503,0.0,23,2011-10-04 00:00:00,21.86,9.03,14.5,1,0,0,0,5.0,48.0,33.0,9.6,21.0,192.91375291375292,0.0,0.0,3.0,3.0,1.0,7.0,18.0,0.0,18.0,15.42857142857143,0.0
109,110.0,0.0,0.0,1,Jacques Kallis,South Africa,Kolkata Knight Riders,1100000.0,82.0,81.0,12.0,2402.0,89*,1.0,1.0,34.81,2107.0,114.0,0.0,21.0,246.0,51.0,0.4024390243902439,33.0,0.0,,68,1.0,1256,1652,0.0,43,2016-03-01 00:00:00,38.41,7.89,29.2,0,0,0,0,16.0,572.0,517.0,35.75,89.0,98.62652679737013,0.0,6.0,67.0,9.0,16.0,350.0,464.0,15.0,29.0,7.962115384615385,1.0
110,111.0,0.0,0.0,1,Muttiah Muralitharan,Sri Lanka,Kochi,1100000.0,94.0,25.0,8.0,57.0,11,0.0,0.0,3.35,74.0,77.02,0.0,0.0,3.0,1.0,0.23404255319148937,22.0,0.0,,94,1.0,2148,2275,1.0,111,2016-04-01 00:00:00,20.49,6.35,19.3,3,0,0,0,1.0,1.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,12.0,306.0,320.0,16.0,26.666666666666668,6.261674806674807,2.0
111,112.0,0.0,0.0,1,Dale Steyn,South Africa,Deccan Chargers,1200000.0,83.0,22.0,6.0,87.0,22,0.0,0.0,5.43,90.0,96.66,0.0,0.0,6.0,2.0,0.26506024096385544,22.0,0.0,,81,1.0,1845,2087,1.0,88,2011-09-04 00:00:00,23.71,6.78,20.9,1,0,0,0,4.0,13.0,17.0,3.25,8.0,47.22222222222222,0.0,0.0,2.0,0.0,15.0,382.0,377.0,17.0,25.133333333333333,5.849424501424502,3.0
112,113.0,0.0,0.0,0,Harbhajan Singh (retained),India,Mumbai Indians,1300000.0,86.0,48.0,18.0,523.0,49*,0.0,1.0,17.43,360.0,145.27,0.0,0.0,46.0,28.0,0.2558139534883721,22.0,0.0,,83,1.0,1788,1987,0.0,77,2018-05-01 00:00:00,25.8,6.66,23.2,1,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,151.0,163.0,10.0,20.375,6.727692307692308,1.0
